Putt Event Auto-Capture (Device Motion @ 100Hz)
Sample Count: 232

Timestamp,UserAccelX,UserAccelY,UserAccelZ,UserAccelMag,RotationX,RotationY,RotationZ,RotationMag,GravityX,GravityY,GravityZ,Pitch,Roll,Yaw
2026-02-17 15:31:26.119,0.0055,-0.0051,0.0065,0.0099,-0.0061,-0.0211,-0.0013,0.0220,0.9230,0.1741,0.3432,-0.1750,1.9268,2.7395
2026-02-17 15:31:26.119,0.0042,0.0094,0.0186,0.0213,0.0033,-0.0193,0.0054,0.0204,0.9231,0.1741,0.3430,-0.1750,1.9266,2.7395
2026-02-17 15:31:26.119,0.0019,0.0030,0.0211,0.0214,-0.0004,-0.0144,0.0052,0.0153,0.9231,0.1740,0.3429,-0.1749,1.9264,2.7395
2026-02-17 15:31:26.119,0.0001,-0.0036,0.0158,0.0163,0.0031,-0.0143,0.0032,0.0150,0.9232,0.1740,0.3427,-0.1749,1.9263,2.7394
2026-02-17 15:31:26.119,-0.0029,-0.0081,0.0068,0.0109,0.0033,-0.0154,0.0036,0.0162,0.9232,0.1740,0.3426,-0.1749,1.9261,2.7394
2026-02-17 15:31:26.120,-0.0033,-0.0051,0.0047,0.0077,0.0014,-0.0144,0.0070,0.0160,0.9233,0.1739,0.3424,-0.1748,1.9260,2.7394
2026-02-17 15:31:26.120,-0.0005,-0.0093,0.0061,0.0112,-0.0001,-0.0079,0.0104,0.0130,0.9234,0.1738,0.3423,-0.1747,1.9258,2.7393
2026-02-17 15:31:26.120,-0.0057,-0.0155,0.0094,0.0190,-0.0117,-0.0042,0.0087,0.0152,0.9234,0.1737,0.3423,-0.1746,1.9258,2.7393
2026-02-17 15:31:26.120,-0.0111,-0.0155,0.0102,0.0216,-0.0159,-0.0001,0.0094,0.0184,0.9234,0.1735,0.3423,-0.1744,1.9258,2.7394
2026-02-17 15:31:26.120,-0.0130,-0.0089,0.0067,0.0171,-0.0168,-0.0005,0.0079,0.0186,0.9234,0.1734,0.3424,-0.1743,1.9258,2.7396
2026-02-17 15:31:26.120,-0.0110,-0.0078,0.0057,0.0147,0.0023,-0.0018,0.0067,0.0073,0.9234,0.1733,0.3424,-0.1742,1.9259,2.7397
2026-02-17 15:31:26.120,-0.0143,-0.0062,0.0068,0.0170,0.0195,-0.0022,0.0082,0.0213,0.9234,0.1733,0.3424,-0.1742,1.9258,2.7395
2026-02-17 15:31:26.121,-0.0146,0.0007,0.0023,0.0148,0.0131,0.0018,0.0178,0.0222,0.9235,0.1732,0.3423,-0.1741,1.9258,2.7393
2026-02-17 15:31:26.122,-0.0132,-0.0019,0.0030,0.0137,0.0169,0.0027,0.0142,0.0222,0.9235,0.1731,0.3424,-0.1740,1.9258,2.7391
2026-02-17 15:31:26.122,-0.0158,-0.0075,0.0050,0.0182,0.0391,0.0023,0.0225,0.0452,0.9235,0.1730,0.3423,-0.1739,1.9258,2.7388
2026-02-17 15:31:26.122,-0.0194,0.0070,0.0065,0.0216,0.0597,0.0046,0.0249,0.0649,0.9235,0.1729,0.3423,-0.1738,1.9257,2.7382
2026-02-17 15:31:26.122,-0.0174,0.0144,0.0142,0.0267,0.0671,0.0096,0.0299,0.0741,0.9236,0.1729,0.3423,-0.1737,1.9257,2.7375
2026-02-17 15:31:26.122,-0.0134,0.0051,0.0189,0.0238,0.0440,0.0204,0.0283,0.0562,0.9236,0.1728,0.3423,-0.1736,1.9258,2.7368
2026-02-17 15:31:26.122,-0.0155,-0.0045,0.0201,0.0258,0.0170,0.0260,0.0228,0.0385,0.9235,0.1726,0.3425,-0.1735,1.9259,2.7365
2026-02-17 15:31:26.122,-0.0161,-0.0081,0.0210,0.0277,0.0099,0.0388,0.0132,0.0422,0.9234,0.1725,0.3428,-0.1734,1.9262,2.7363
2026-02-17 15:31:26.122,-0.0134,-0.0075,0.0210,0.0260,0.0003,0.0463,0.0107,0.0475,0.9233,0.1724,0.3432,-0.1733,1.9267,2.7362
2026-02-17 15:31:26.123,-0.0147,0.0005,0.0278,0.0314,-0.0101,0.0571,0.0109,0.0590,0.9231,0.1723,0.3437,-0.1732,1.9272,2.7362
2026-02-17 15:31:26.123,-0.0138,0.0004,0.0426,0.0448,-0.0135,0.0738,0.0115,0.0759,0.9229,0.1721,0.3443,-0.1730,1.9279,2.7362
2026-02-17 15:31:26.123,-0.0164,0.0009,0.0526,0.0551,-0.0245,0.0894,0.0050,0.0928,0.9227,0.1720,0.3451,-0.1729,1.9287,2.7364
2026-02-17 15:31:26.133,-0.0216,0.0082,0.0553,0.0599,-0.0276,0.1065,0.0044,0.1101,0.9223,0.1719,0.3461,-0.1728,1.9297,2.7367
2026-02-17 15:31:26.133,-0.0304,0.0087,0.0637,0.0711,-0.0198,0.1250,-0.0043,0.1266,0.9219,0.1718,0.3472,-0.1727,1.9310,2.7369
2026-02-17 15:31:26.133,-0.0379,0.0113,0.0729,0.0830,-0.0062,0.1469,-0.0040,0.1471,0.9214,0.1718,0.3485,-0.1727,1.9324,2.7370
2026-02-17 15:31:26.133,-0.0466,0.0212,0.0775,0.0929,-0.0022,0.1705,-0.0065,0.1706,0.9209,0.1719,0.3499,-0.1727,1.9340,2.7371
2026-02-17 15:31:26.133,-0.0536,0.0193,0.0792,0.0976,0.0011,0.1937,-0.0015,0.1937,0.9202,0.1719,0.3516,-0.1727,1.9358,2.7371
2026-02-17 15:31:26.133,-0.0566,0.0119,0.0864,0.1040,0.0194,0.2167,0.0015,0.2176,0.9195,0.1719,0.3535,-0.1728,1.9378,2.7370
2026-02-17 15:31:26.133,-0.0607,0.0227,0.0954,0.1153,0.0401,0.2385,0.0060,0.2419,0.9187,0.1720,0.3556,-0.1729,1.9401,2.7367
2026-02-17 15:31:26.134,-0.0645,0.0225,0.1047,0.1250,0.0594,0.2531,0.0101,0.2602,0.9178,0.1721,0.3577,-0.1730,1.9425,2.7362
2026-02-17 15:31:26.134,-0.0623,0.0180,0.1081,0.1260,0.0827,0.2664,0.0151,0.2793,0.9169,0.1723,0.3600,-0.1731,1.9449,2.7355
2026-02-17 15:31:26.134,-0.0636,0.0237,0.1125,0.1314,0.0997,0.2835,0.0237,0.3014,0.9159,0.1724,0.3624,-0.1733,1.9475,2.7346
