Putt Event Auto-Capture (Raw Accelerometer @ 800Hz)
Sample Count: 262

Timestamp,RawAccelX,RawAccelY,RawAccelZ,RawAccelMag
2026-02-17 15:31:26.101,0.0261,-0.2321,-0.8733,0.9040
2026-02-17 15:31:26.101,0.0231,-0.2112,-0.8725,0.8979
2026-02-17 15:31:26.101,0.0074,-0.2197,-0.8854,0.9122
2026-02-17 15:31:26.101,-0.0039,-0.2346,-0.9016,0.9316
2026-02-17 15:31:26.101,-0.0017,-0.2392,-0.9115,0.9423
2026-02-17 15:31:26.101,0.0087,-0.2330,-0.9273,0.9562
2026-02-17 15:31:26.101,0.0227,-0.2400,-0.9310,0.9617
2026-02-17 15:31:26.101,0.0208,-0.2616,-0.9155,0.9524
2026-02-17 15:31:26.101,0.0110,-0.2773,-0.9014,0.9432
2026-02-17 15:31:26.101,0.0059,-0.2666,-0.8970,0.9358
2026-02-17 15:31:26.101,0.0093,-0.2374,-0.9142,0.9446
2026-02-17 15:31:26.101,0.0197,-0.2202,-0.9315,0.9574
2026-02-17 15:31:26.112,0.0208,-0.2233,-0.9446,0.9708
2026-02-17 15:31:26.117,0.0139,-0.2365,-0.9531,0.9821
2026-02-17 15:31:26.133,0.0049,-0.2411,-0.9563,0.9862
2026-02-17 15:31:26.137,-0.0011,-0.2450,-0.9634,0.9940
